brand_name,total_views,total_carts,total_purchases,view_to_cart_conversion_rate,cart_to_purchase_conversion_rate,view_to_purchase_conversion_rate
codyson,365,63,71,0.1726027397260274,1.126984126984127,0.1945205479452054
pmma,127,24,21,0.1889763779527559,0.875,0.1653543307086614
nv-print,2825,401,416,0.1419469026548672,1.0374064837905237,0.1472566371681415
content,166,29,24,0.1746987951807229,0.8275862068965517,0.144578313253012
keenetic,701,91,94,0.12981455064194,1.032967032967033,0.1340941512125535
saitek,750,118,97,0.1573333333333333,0.8220338983050848,0.1293333333333333
p.i.t,604,65,77,0.1076158940397351,1.1846153846153846,0.1274834437086092
fluke,121,11,15,0.0909090909090909,1.3636363636363635,0.1239669421487603
sapphire,8019,1440,917,0.1795735129068462,0.6368055555555555,0.1143534106497069
canyon,633,64,70,0.1011058451816745,1.09375,0.1105845181674565
steelseries,1385,211,145,0.1523465703971119,0.6872037914691943,0.1046931407942238
pantum,2911,310,295,0.1064926142219168,0.9516129032258064,0.1013397457918241
brother,2044,235,207,0.1149706457925636,0.8808510638297873,0.1012720156555773
gigaset,386,42,39,0.1088082901554404,0.9285714285714286,0.1010362694300518
toshiba,487,61,48,0.1252566735112936,0.7868852459016393,0.0985626283367556
ballistix,312,40,30,0.1282051282051282,0.75,0.0961538461538461
svetocopy,157,12,15,0.0764331210191082,1.25,0.0955414012738853
zebra,273,41,26,0.1501831501831501,0.6341463414634146,0.0952380952380952
ubiquiti,723,62,68,0.0857538035961272,1.096774193548387,0.0940525587828492
vlk,108,11,10,0.1018518518518518,0.9090909090909092,0.0925925925925925
sandisk,1042,123,96,0.118042226487524,0.7804878048780488,0.092130518234165
netproduct,310,34,28,0.1096774193548387,0.8235294117647058,0.0903225806451612
msi,19941,3135,1788,0.1572137806529261,0.570334928229665,0.0896645103054009
muvit,134,15,12,0.1119402985074626,0.8,0.0895522388059701
apacer,393,67,35,0.1704834605597964,0.5223880597014925,0.089058524173028
